product_id,name,mrp,cost_price,min_margin_pct,stock,image
P001,Wireless Earbuds,2999,1600,12,25,https://images.unsplash.com/photo-1590658268037-6bf12165a8df?w=500&q=80
P002,Bluetooth Speaker,3999,2300,10,14,https://images.unsplash.com/photo-1608043152269-423dbba4e7e1?w=500&q=80
P003,Smart Watch,4999,2700,15,9,https://images.unsplash.com/photo-1523275335684-37898b6baf30?w=500&q=80
P004,Power Bank 10000mAh,1999,900,10,30,https://images.unsplash.com/photo-1609091839311-d5365f9ff1c5?w=500&q=80
P005,Wireless Headphones,5999,3200,12,11,https://images.unsplash.com/photo-1505740420928-5e560c06d30e?w=500&q=80
P006,Gaming Mouse,1499,800,15,20,https://images.unsplash.com/photo-1527814050087-3793815479db?w=500&q=80
P007,Mechanical Keyboard,4499,2500,12,15,https://images.unsplash.com/photo-1511467687858-23d96c32e4ae?w=500&q=80
P008,4K Monitor,24999,18000,8,5,https://images.unsplash.com/photo-1527443224154-c4a3942d3acf?w=500&q=80
P009,Laptop Stand,1299,600,20,40,https://images.unsplash.com/photo-1616353071588-708dcff912e2?w=500&q=80
P010,USB-C Hub,2499,1200,15,25,https://images.unsplash.com/photo-1611591437281-460bfbe1220a?w=500&q=80
